rva	name	conf	size	n_callers	n_orphan_sites	best_caller	all_callers	orphan_sites	verdict
0x004cbb50	FUN_004cbb50	C2	11	3	0	0x004f8730(C2)	004f8730:C2;00543a40:C1;0049ab10:C2	-	GATE_PASS
0x00495110	FUN_00495110	C2	11	1	0	0x00492770(C4)	00492770:C4	-	GATE_PASS
0x0048bc10	FUN_0048bc10	C2	13	1	0	0x0040bd00(C2)	0040bd00:C2	-	GATE_PASS
0x0041a3d0	FUN_0041a3d0	C2	13	1	0	0x00402a40(C2)	00402a40:C2	-	GATE_PASS
0x0041c2c0	FUN_0041c2c0	C2	13	1	0	0x00402a40(C2)	00402a40:C2	-	GATE_PASS
0x0041da80	FUN_0041da80	C2	13	1	0	0x00402a40(C2)	00402a40:C2	-	GATE_PASS
0x0041de70	FUN_0041de70	C2	13	1	0	0x00402a40(C2)	00402a40:C2	-	GATE_PASS
0x00425ed0	FUN_00425ed0	C2	13	1	0	0x00402a40(C2)	00402a40:C2	-	GATE_PASS
0x004af32d	FUN_004af32d	C2	13	1	0	0x004a3258(C3)	004a3258:C3	-	GATE_PASS
0x00404820	FUN_00404820	C2	13	1	0	0x0045b930(C2)	0045b930:C2	-	GATE_PASS
0x0041d6d0	FUN_0041d6d0	C2	14	1	0	0x0041d890(C2)	0041d890:C2	-	GATE_PASS
0x005b8080	FUN_005b8080	C2	15	1	0	0x005b1500(C2)	005b1500:C2	-	GATE_PASS
0x0049a730	FUN_0049a730	C2	16	1	0	0x0049a0e0(C2)	0049a0e0:C2	-	GATE_PASS
0x004b4120	FUN_004b4120	C2	16	1	0	0x0048a4e0(C2)	0048a4e0:C2	-	GATE_PASS
0x005b1080	FUN_005b1080	C2	18	2	1	0x005b7110(C2)	005b7110:C2;005bd6f0:C2	005c8cda	GATE_PASS
0x00499cc0	sub_00499cc0	C2	18	1	0	0x00492370(C2)	00492370:C2	-	GATE_PASS
