rva	name	conf	size	best_caller	harness_safety	brief_verdict	brief
0x005aeed0	FUN_005aeed0	C2	33	0x005ab620(C2)	SAFE	READY	re/orchestrator/read_fleet/runs/iter11_gate/gate_b5.md
0x004d8770	RwStringGetSizeAligned	C2	34	0x004cf4a0(C2)	SAFE	READY	re/orchestrator/read_fleet/runs/iter11_gate/gate_b6.md
0x0055c4f0	PhysicsBodySetFriction	C2	76	0x004218d0(C2)	SAFE	READY	re/orchestrator/read_fleet/runs/iter12_gate/gate_b15.md
0x00430b30	FUN_00430b30	C2	46	0x00448220(C2)	SAFE	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b12.md
0x00411350	Replay::TimeFormat	C2	87	0x00411600(C3)	SAFE	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b15.md
0x004a2b60	FUN_004a2b60	C2	88	0x004625b0(C3)	SAFE	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b15.md
0x005ae380	FUN_005ae380	C2	24	0x005ae330(C2)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b3.md
0x004b8080	FUN_004b8080	C2	31	0x004b87e0(C2)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b5.md
0x005af200	FUN_005af200	C2	35	0x005af260(C2)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b7.md
0x005b10a0	FUN_005b10a0	C2	38	0x005b1140(C2)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b9.md
0x005b10e0	FUN_005b10e0	C2	38	0x005b1110(C2)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b9.md
0x00495080	FUN_00495080	C2	38	0x0043dfd0(C2)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b9.md
0x00550950	FUN_00550950	C2	41	0x004cbd30(C3)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b11.md
0x00425b90	FUN_00425b90	C2	41	0x00425c00(C2)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b11.md
0x0055c810	PhysicsBodySetLinearVelocity	C2	44	0x0047fad0(C2)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b12.md
0x004b5190	FUN_004b5190	C2	49	0x0041ad60(C3)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b12.md
0x00411530	Replay::GetTimeAtIdx	C2	65	0x004115c0(C3)	CALLS_UNKNOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b14.md
0x00404820	FUN_00404820	C2	13	0x0045b930(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b1.md
0x004b4120	FUN_004b4120	C2	16	0x0048a4e0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b2.md
0x005b1080	FUN_005b1080	C2	18	0x005b7110(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b2.md
0x00421690	FUN_00421690	C2	22	0x00424eb0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b2.md
0x00454f80	FUN_00454f80	C2	22	0x00407800(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b3.md
0x0041e850	sub_0041e850	C2	22	0x0040dfc0(C3)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b3.md
0x00491780	FUN_00491780	C2	23	0x00426e10(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b3.md
0x00421980	FUN_00421980	C2	26	0x00421c80(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b4.md
0x00421960	FUN_00421960	C2	30	0x00421d20(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b5.md
0x004c0ed0	FUN_004c0ed0	C2	31	0x00552e40(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b5.md
0x004c5dd0	FUN_004c5dd0	C2	35	0x004d0290(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b6.md
0x0048fef0	FUN_0048fef0	C2	35	0x0048ff20(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b7.md
0x004c1be0	sub_004c1be0	C2	35	0x004026d0(C3)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b7.md
0x004c7620	FUN_004c7620	C2	36	0x004de1b0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b7.md
0x0041f290	FUN_0041f290	C2	36	0x00404650(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b7.md
0x00451730	FUN_00451730	C2	36	0x00485460(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b8.md
0x005af7a0	FUN_005af7a0	C2	37	0x005af510(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b8.md
0x00412100	FUN_00412100	C2	38	0x0040bde0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter11_gate/gate_b8.md
0x005a9de0	FUN_005a9de0	C2	39	0x005a62b0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b9.md
0x004292d0	sub_004292d0	C2	39	0x004111c0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b10.md
0x0045da60	FUN_0045da60	C2	40	0x0045e040(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b10.md
