site	block	hops	owners
00407687	00407670	1	00481a30
00449070	00449030	2	
0044914f	004490d0	2	
004492e6	004492e6	1	
00451fc8	00451f5f	2	
004520e5	00452071	2	
00452ad5	00452ad0	2	
00452af5	00452af0	2	
00453e47	00453e09	3	0045bba0
00454e60	00454e40	4	
0045643b	004561c0	2	
00456d29	00456d20	3	
00456d42	00456d20	3	
0045777a	004576f0	2	
00458960	00458920	1	00459000
0047234c	00472330	1	00472380
0047b3dd	0047b3c0	2	00426340,0045bae0,0047a020,0047a0f0,0047a130
00498067	00498058	2	004982a0
0049808a	00498076	2	004982a0
004980ad	00498099	2	004982a0
004980d0	004980bc	2	004982a0
004983f9	004983e4	2	00498510
0049843e	00498429	3	00498510
004984a1	00498493	3	00498510
004984bc	004984ae	3	00498510
0049a3ad	0049a2f0	4	
0049a3bb	0049a2f0	4	
0049a3c9	0049a2f0	4	
0049a7b5	0049a750	5	
0049a828	0049a750	5	
0049a839	0049a750	5	
0049a84a	0049a750	5	
0049a858	0049a750	5	
0049a897	0049a750	5	
0049d78f	0049d70b	10	
0049d8ce	0049d8c4	13	
004b6cb4	004b6c89	2	004b6640
004b6d67	004b6cee	2	004b6640
004b6ddc	004b6d8f	3	004b6640
004b6eb3	004b6e53	5	004b6640
004dc0dc	004dc095	3	
005517a5	00551770	1	005515a0
005517be	00551770	1	005515a0
005519c1	0055199f	2	005515a0
005aafd0	005aafb0	2	
005aafe0	005aafe0	2	
005b77dd	005b7750	1	005b74c0
005b7960	005b78df	3	005b74c0
005bd1a8	005bcffa	2	005bce80
005be50f	005be4d0	1	005be260
005be861	005be850	2	005be260
