rva,symbol,name,conf,subsystem,file,verdict,imm,detail
00401340,CupSpinSpeedAndColor,CupSpinSpeedAndColor,C3,hud,ScenarioWriters_sa2s2.cpp,PASS,DIFF,"imm -0xa,0xc,0x14,0x66,0xc5,0xd8 +0xff0a66d8,0xff14c5ff,0xfff5f0f0"
00401570,EntryTableScanByKey,EntryTableScanByKey,C3,frontend,SmallLeaves_t1.cpp,PASS,same,data=2 ours=38B orig=37B
00401ee0,EntityTableSelectUpdate,EntityTableSelectUpdate,C3,frontend,MenuLeaves_af4.cpp,PASS,same,data=1 ours=44B orig=40B
004026d0,BootQueueFlush,FUN_004026d0,C3,boot,BootLowRvaCluster.cpp,PASS,DIFF,"imm -0x4,0xc,0x14,0xff +0x10,0x18,0xff000000"
00402f40,Util636ad8Get,Util636ad8Get,C3,util,PromoLoop_round15.cpp,PASS,same,data=1 ours=6B orig=6B
00402f50,BootDefaultParamsInit,FUN_00402f50,C3,boot,BootLowRvaCluster.cpp,PASS,DIFF,imm -- +0x0
00402f80,CupFloatInit,CupFloatInit,C3,hud,Cluster_v2.cpp,PASS,same,data=4 ours=41B orig=41B
00403160,Sub00403160_SubMode0BViewport,Sub00403160_SubMode0BViewport,C4,hud,HudBatch.cpp,PASS,same,data=2 ours=227B orig=230B
004039e0,Float5ea0a8Get,Float5ea0a8Get,C3,render,PromoLoop_round35.cpp,PASS,same,data=1 ours=7B orig=7B
00403d30,Render_00403d30,Render_00403d30,C3,render,LowRvaMixed_q3.cpp,PASS,DIFF,"imm -0x8,0x40,0xc8,0xff +0x10,0x18,0x1c,0xc8ffffff,0xff000000"
00403ed0,Render_00403ed0,Render_00403ed0,C3,render,LowRvaMixed_q3.cpp,PASS,DIFF,"imm -0x8,0x54,0xc8,0xff +0x10,0x18,0xc8ffffff,0xff000000"
00404320,PerModeRenderMachine,PerModeRenderMachine,C4,render,PerModeRender.cpp,FAIL,DIFF,"data -0x7d3ff8 +0x7d4018; imm -0x0,0x10,0x41,0x3f4ccccd +0xc"
00404e00,IdxPtr404e00,IdxPtr404e00,C3,vehicle,PromoLoop_round74.cpp,PASS,same,data=2 ours=27B orig=27B
00404e20,IdxPtr404e20,IdxPtr404e20,C3,vehicle,PromoLoop_round74.cpp,PASS,same,data=2 ours=32B orig=36B
