rva,symbol,name,conf,subsystem,file,installed,verdict,imm,detail
00403050,PreRaceLoadingScreenDraw,FUN_00403050,C2,frontend,SkeletonAndScatter_t6.cpp,yes,PASS,DIFF,"imm -0x18,0x24 +0x10,0x38"
00407600,PlayerPositionPtr,Player::GetPositionPtr,C2,util,SlotObjectAccessors.cpp,yes,PASS,same,data=1 ours=28B orig=29B
00407b00,RangeTableFindGroup,FUN_00407b00,C2,gameplay,RangeTable_ah1.cpp,yes,PASS,same,data=0 ours=145B orig=99B
0040cf40,ReleaseResourcePair,FUN_0040cf40,C2,gameplay,Thresholds_ah4.cpp,yes,PASS,same,data=2 ours=58B orig=57B
0040d590,RaceRankThreePlayers,FUN_0040d590,C2,frontend,MenuLeaves_af4.cpp,COMMENTED,PASS,DIFF,"imm -0x5,0x41 +-"
00410860,ScoreThresholdStateCheck,FUN_00410860,C2,util,UtilMid.cpp,COMMENTED,FAIL,DIFF,data -0x7f1a54 +-; imm -0xc8 +0xc7
00412cf0,LabelTrailRecordAppend,FUN_00412cf0,C2,hud,UtilMid.cpp,COMMENTED,PASS,DIFF,"imm -0x20,0x24,0x41 +0x0,0x38"
00415200,AiV0Guard_Entry,AiVehicle0ZeroProgressGuard,C2,ai,AiTargeting.cpp,yes,SKIP,,symbol absent from obj (mangled/static/inlined)
00418de0,VehicleEliminationSlotPostInit,FUN_00418de0,C2,vehicle,Damage.cpp,COMMENTED,PASS,DIFF,"imm -0x1,0x2,0x3,0x14,0x2c +0x4"
00419760,VehicleEliminationSlotInit,FUN_00419760,C2,vehicle,Damage.cpp,COMMENTED,FAIL,DIFF,"data -- +0x63c028,0x63c04c,0x63c06c; imm -- +0x0"
0041bc50,Sub0041bc50_HudRender29Dispatcher,FUN_0041bc50,C2,hud,HudBatch.cpp,COMMENTED,SKIP,,symbol absent from obj (mangled/static/inlined)
0041c2d0,FUN_0041c2d0,FUN_0041c2d0,C2,hud,HudDispatch.cpp,COMMENTED,PASS,DIFF,imm -0x10 +-
0041d730,PlayerSlotConfigInit,sub_0041d730,C2,util,UtilMid.cpp,COMMENTED,FAIL,DIFF,"data -0x7f1a18,0x7f1a28,0x7f1a38,0x7f1a48 +0x63d2a4; imm -0xffffffff +-0x1,0x4"
00421930,BodyGeometryFirstDword,FUN_00421930,C2,render,SlotObjectAccessors.cpp,yes,PASS,same,data=0 ours=31B orig=35B
00423b00,FrontendInputDispatch,FUN_00423b00,C2,frontend,MenuLeaves_af5.cpp,yes,PASS,same,data=1 ours=38B orig=30B
00425c00,CopterClumpRegister,FUN_00425c00,C2,frontend,MenuLeaves_af4.cpp,COMMENTED,PASS,same,data=3 ours=161B orig=156B
004274e0,LocalizationFileLoad,FUN_004274e0,C2,frontend,SkeletonAndScatter_t6.cpp,yes,PASS,DIFF,imm -0x5 +0x4
00428590,ViewportInit,ViewportInit,C2,boot,SubsystemInit.cpp,COMMENTED,PASS,DIFF,"imm -0x4,0x14,0xff +0x18,0xff000000"
00428bf0,TitleBuildInfoRender,FUN_00428bf0,C2,frontend,MenuLeaves_af4.cpp,COMMENTED,PASS,DIFF,"imm -0x4,0xc,0x24,0x40,0x8c,0xff +-0x1,0x10,0x28,0x48,0x88,0xff000000"
0042bcb0,PlayerNameSpriteDraw,FUN_0042bcb0,C2,frontend,SkeletonAndScatter_t6.cpp,yes,PASS,DIFF,"imm -0x9,0x24 +0x7,0xe,0x1c"
00431d00,CarSelectReset,FUN_00431d00,C2,frontend,GameModeCarSelect.cpp,COMMENTED,PASS,same,data=7 ours=182B orig=98B
00442440,TransformMatrixUpdate,FUN_00442440,C2,util,UtilMid.cpp,COMMENTED,PASS,DIFF,"imm -0x10,0x28,0x3c +0x1,0x4,0x8,0x34,0x50"
00443dc0,AiNav_Entry,FUN_00443dc0,C2,ai,AiNavHooks.cpp,yes,SKIP,,symbol absent from obj (mangled/static/inlined)
00448700,VehicleSeedWritePair,VehicleSeedWritePair,C2,vehicle,VehicleSeed.cpp,yes,PASS,same,data=3 ours=46B orig=43B
0044b000,SlotRecordPositionPtr,FUN_0044b000,C2,render,SlotObjectAccessors.cpp,yes,PASS,same,data=1 ours=28B orig=27B
004671d0,FollowTargetField40,FUN_004671d0,C2,render,FollowTargetFieldPtr.cpp,yes,PASS,same,data=1 ours=45B orig=54B
00467210,FollowTargetField10,sub_00467210,C2,render,FollowTargetFieldPtr.cpp,yes,PASS,same,data=1 ours=45B orig=54B
00472dc0,Im2DTriangleDraw,FUN_00472dc0,C2,frontend,BucketMixed_t3.cpp,COMMENTED,FAIL,DIFF,"data -0x898a7c +0x898a2c,0x898a30,0x898a44,0x898a48,0x898a4c,0x898a60; imm -0x1c +0x10,0xff00ff00"
0047b9e0,Track_RenderQuadThunk_47b9e0,FUN_0047b9e0,C2,track,CourseLoadDispatch.cpp,yes,PASS,DIFF,imm -0x8 +-
0047c160,CameraPathNodeContainTest,sub_0047c160,C2,camera,ScenarioLeaves_sa2.cpp,COMMENTED,PASS,DIFF,imm -0x80 +-0x80
0047c270,CameraPathAllNodesEq2,FUN_0047c270,C2,camera,CameraPathPredicates.cpp,yes,FAIL,DIFF,"data -0x6c27a8,0x6c2fa8,0x6c2fe8 +-; imm -0x1,0x4,0x80 +0x8"
0047c2d0,CameraPathAnyNodeNonzero,FUN_0047c2d0,C2,camera,CameraPathPredicates.cpp,yes,FAIL,DIFF,"data -0x6c27a8,0x6c2fa8,0x6c2fe8 +-; imm -0x1,0x4,0x80 +0x8"
0047e9c0,FUN_0047e9c0,PhysicsSceneInitSequence,C2,vehicle,RwpSolverCore23.cpp,yes,PASS,DIFF,"imm -0x40 +0x0,0x34,0x38"
004840b0,ShapeOwnerHandleGet,FUN_004840b0,C2,vehicle,ShapeOwnerHandlePool.cpp,yes,PASS,DIFF,imm -0x4 +0x3
004853b0,SmplFzxStateBlockGetLogged,FUN_004853b0,C2,smplfzx,SmplFzxStateBlock.cpp,yes,PASS,same,data=1 ours=46B orig=52B
00490f50,ByteQuadSet50,FUN_00490f50,C2,render,GlobalByteQuad.cpp,yes,PASS,same,data=4 ours=37B orig=39B
00490f80,ByteQuadSet80,FUN_00490f80,C2,render,GlobalByteQuad.cpp,yes,PASS,same,data=4 ours=37B orig=39B
004926c0,AudioTickAndAvg,AudioTickAndAvg,C2,boot,FrameDispatch.cpp,COMMENTED,PASS,DIFF,imm -0x1f +-
00492d30,GameTickStateMachine7,FUN_00492d30,C2,util,UtilMid.cpp,COMMENTED,PASS,DIFF,imm -- +0x1f
004950b0,QpcTimeScaledTo3Mhz,FUN_004950b0,C2,util,UtilMid.cpp,COMMENTED,PASS,DIFF,imm -0x0 +-
00495280,PizOpen_SelectiveBypass,FUN_00495280,C2,render,PizOpenBypass.cpp,COMMENTED,SKIP,,no obj (TU not in this target's list)
00495350,HardwareShowIntroVideo,HardwareShowIntroVideo,C2,frontend,IntroSplash.cpp,COMMENTED,FAIL,DIFF,"data -- +0x7d3ff8; imm -0x2,0x14,0x20,0x40,0x80,0xff +0x18,0x28,0xff808000"
004a2bf7,Tbl4a2bf7,FUN_004a2bf7,C2,boot,PromoLoop_sessionB.cpp,yes,PASS,same,data=6 ours=61B orig=56B
004a4bb7,WinMainEntry,entry,C2,boot,CrtStartup.cpp,COMMENTED,PASS,DIFF,"imm -0x60,0xffffffff +0x4,0xc,0x44,0x52,0x8c,0xb0"
004a5984,CrtSehProlog,CrtSehProlog,C2,boot,CrtCompilerSupport.cpp,COMMENTED,PASS,DIFF,imm -0xffffffff +-
004a59bf,CrtSehEpilog,CrtSehEpilog,C2,boot,CrtCompilerSupport.cpp,COMMENTED,PASS,same,data=0 ours=17B orig=17B
004b302f,StricmpThunk,__stricmp,C2,util,UtilMid.cpp,COMMENTED,FAIL,DIFF,"data -0x616be4 +-; imm -0x0,0x10 +-"
004b4050,ClumpQueryField18,FUN_004b4050,C2,render,SlotObjectAccessors.cpp,yes,PASS,same,data=0 ours=23B orig=29B
004b6710,PizWin32Open_Compat,FUN_004b6710,C2,render,PizWin32Bypass.cpp,COMMENTED,FAIL,DIFF,"data -0x7d3e48,0x7d3e50 +-; imm --0x1,0x0,0x1,0x3,0x8,0x60000000 +0x4"
004b6770,PizWin32Close_Compat,FUN_004b6770,C2,render,PizWin32Bypass.cpp,COMMENTED,PASS,DIFF,imm -- +-0x1
004b67e0,PizWin32Read_Compat,FUN_004b67e0,C2,render,PizWin32Bypass.cpp,COMMENTED,PASS,same,data=6 ours=275B orig=241B
004c1a70,CameraRecomputeProjCoeffs,CameraRecomputeProjCoeffs,C2,render,CameraProjCoeffs.cpp,yes,PASS,same,data=1 ours=149B orig=150B
004c4600,FUN_004c4600,RwMatrixMultiply,C2,render,RwpSolverMath2.cpp,yes,PASS,DIFF,imm -- +0x1
004c51a0,FUN_004c51a0,RwMatrixTranslate,C2,render,RwpSolverMath2.cpp,yes,PASS,DIFF,imm -- +0x2
004c52f0,FUN_004c52f0,RwMatrixCombine,C2,render,RwpSolverMath2.cpp,yes,PASS,DIFF,"imm -0x0,0x48 +0x2,0x4c"
004c57a0,FontCtxMatrix_AllocInit,FontCtxMatrix_AllocInit,C2,hud,HudBatch.cpp,COMMENTED,SKIP,,symbol absent from obj (mangled/static/inlined)
004c5a00,RwTextureCreate,FUN_004c5a00,C2,render,TextureLoaderCluster.cpp,COMMENTED,PASS,DIFF,"imm -0x11 +0x0,0x1101"
004cc7f0,RwFreeListCreateWrapper,FUN_004cc7f0,C2,render,RenderSubmit_o4.cpp,COMMENTED,PASS,same,data=0 ours=31B orig=33B
004cc820,RwFreeListCreate,FUN_004cc820,C2,render,MixedC3Sweep.cpp,COMMENTED,SKIP,,symbol absent from obj (mangled/static/inlined)
