rva,symbol,conf,subsystem,file,klass,tests,n_miss,n_extra,ours_b,orig_b,ratio,miss,extra
00404e50,SaveLoad,C4,save,GameSave.cpp,CANDIDATE,,0,1,38,33,1.15,,008a95a0
00404ee0,SerializeToBuffer,C4,save,GameSaveBuffer.cpp,INDUCTION,INDUCTION|WINDOW,1,1,98,99,0.99,007f0f54,007f0f53
00404f50,SaveWrite,C4,save,GameSave.cpp,CANDIDATE,,0,1,38,33,1.15,,008a95a0
004075b0,ItemPosRet4075b0,C3,gameplay,PromoLoop_sessionB.cpp,FOLDED-MEMBER,FOLDED-MEMBER|WINDOW,1,2,59,70,0.84,00639d80,"00639d90,00639dc8"
0040b430,UtilFieldAdd8a94f0,C3,util,UtilLeaves_ac.cpp,WINDOW,WINDOW,0,1,36,47,0.77,,008a94fc
0040b460,MenuMenusBD,C3,frontend,MenuMenusB.cpp,WINDOW,WINDOW,1,6,345,221,1.56,007f1a54,"007f1a24,007f1a34,007f1a44,008a9500,008a9510,008a9520"
0040b540,PlayerScoreRankOrder,C3,gameplay,ScoreMasks_ah3.cpp,WINDOW,WINDOW,1,6,324,221,1.47,007f1a54,"007f1a24,007f1a34,007f1a44,008a94e4,008a94e8,008a94ec"
0040b620,SlotSortByModeScore,C3,frontend,MenuScoreGetters.cpp,WINDOW,WINDOW,1,6,264,136,1.94,007f1a54,"007f1a24,007f1a34,007f1a44,008a9534,008a9538,008a953c"
0040b970,Bool0Out8a94e0,C3,gameplay,PromoLoop_round67.cpp,UNROLLED,UNROLLED|WINDOW,0,3,60,41,1.46,,"008a94e4,008a94e8,008a94ec"
0040cd90,CountNonZeroPairs,C4,gameplay,ScoreMasks_ah3.cpp,CANDIDATE,,0,16,158,5,31.60,,"00899260,008992a4,008992ac,008992f0,008992f8,0089933c,00899344,00899388"
00411600,ReplayRecordFrame,C3,vehicle,Replay.cpp,CANDIDATE,,2,0,176,334,0.53,"0063bb10,007f0ff4",
00413f20,ZeroFill60_63bc60,C3,util,PromoLoop_round69.cpp,CANDIDATE,,1,0,17,43,0.40,0063bd50,
00413fe0,Reset413fe0,C3,ai,PromoLoop_sessionB.cpp,INDUCTION,INDUCTION|WINDOW,1,1,129,73,1.77,0089a4f0,0089a4c8
00414030,AiSplineBankTimerReset,C3,ai,PromoLoop_round1.cpp,UNROLLED,UNROLLED|WINDOW,1,3,66,48,1.38,00803324,"008032e8,008032fc,00803310"
00414120,CopyTable005f2a70To0089a384,C3,frontend,SmallLeaves_t1.cpp,WINDOW,WINDOW,2,1,64,81,0.79,"0089a384,0089a420",005f2b0c
00416250,AiControlStep,C3,ai,AiControlStep.cpp,WRAPPER,"resolved-via:??$ControlStepBody@$0A@@?A0xe779b373@@YAXPAXHPAE@Z,?Ftol@?A0xe779b373@@YAHN@Z",0,0,5,2015,-,,
