rva	name	verdict	n	ndiff	proof	detail	boot_state	group	log	at	control	control_at
00403050	PreRaceLoadingScreenDraw	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T12:16:09		
00407600	PlayerPositionPtr	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:09:38		
00407b00	RangeTableFindGroup	CLEAN	48	0	A/B-IS-REAL installed=e9 uninstalled=53		RACE_OK	16	shadow_ab_20260910_001251_16x_00407600.log	2026-09-10T00:12:51		
0040cf40	ReleaseResourcePair	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T12:17:04		
00421560	L2_FUN_00421560	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	4	shadow_ab_20260910_120315_4x_00421560.log	2026-09-10T12:03:15		
00421930	BodyGeometryFirstDword	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:10:19		
00421960	L2_FUN_00421960	CRASH	0	0		 |   p0.grounded=4 airflag=1  vel=[-83.7, 0.2, 331.1]    /     + 13s  ph=3  spawnFired=12  p0.grounded=4 airflag=1  vel=[2322.9, -23.2, 2510.9]    /   game exited.	CRASH	1	shadow_ab_20260910_152725_1x_00421960.log	2026-09-10T15:27:25	CRASH	2026-09-10T15:29:37
00421980	L2_FUN_00421980	CRASH	0	0		 |   p0.grounded=4 airflag=1  vel=[-65.7, 0.1, 273.4]    /     + 13s  ph=3  spawnFired=12  p0.grounded=4 airflag=1  vel=[2360.0, -23.3, 2333.9]    /   game exited.	CRASH	1		2026-09-10T09:38:40		
004219c0	L2_FUN_004219c0	CRASH	0	0		" | cal-packages\Python312\site-packages\frida\core.py"", line 499, in _rpc_request /     raise result.error / frida.InvalidOperationError: script has been destroyed"	CRASH	1	shadow_ab_20260910_152737_1x_004219c0.log	2026-09-10T15:27:37	CRASH	2026-09-10T15:29:06
00423b00	FrontendInputDispatch	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=83		RACE_OK	8	shadow_ab_20260910_103042_8x_00403050.log	2026-09-10T10:30:42		
004274e0	LocalizationFileLoad	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:11:02		
0042bcb0	PlayerNameSpriteDraw	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T12:18:00		
0044b000	SlotRecordPositionPtr	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:11:43		
00457610	L2_FUN_00457610	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	3	shadow_ab_20260910_120415_3x_00457610.log	2026-09-10T12:04:15		
0045d3f0	L2_FUN_0045d3f0	CLEAN	2	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	5	shadow_ab_20260910_023716_5x_005aeed0.log	2026-09-10T02:37:17		
004671d0	FollowTargetField40	CLEAN	48	0	A/B-IS-REAL installed=e9 uninstalled=e8		RACE_OK	16	shadow_ab_20260910_001251_16x_00407600.log	2026-09-10T00:12:51		
00467210	FollowTargetField10	CLEAN	48	0	A/B-IS-REAL installed=e9 uninstalled=e8		RACE_OK	16	shadow_ab_20260910_001251_16x_00407600.log	2026-09-10T00:12:51		
0047b9e0	Track_RenderQuadThunk_47b9e0	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T12:18:55		
0047e9c0	FUN_0047e9c0	DIVERGENT	24	1	A/B-IS-REAL installed=e9 uninstalled=8b	pages=o:3,n:2,diff:1 stack=0 noise=0 ovf=0 ret=0 @00624000+048 x1	RACE_OK	8	shadow_ab_20260910_103042_8x_00403050.log	2026-09-10T10:30:42		
004840b0	ShapeOwnerHandleGet	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:12:25		
004853b0	SmplFzxStateBlockGetLogged	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:13:07		
00486f50	L2_FUN_00486f50	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	3	shadow_ab_20260910_120415_3x_00457610.log	2026-09-10T12:04:15		
0048fce0	L2_FUN_0048fce0	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	4	shadow_ab_20260910_120315_4x_00421560.log	2026-09-10T12:03:15		
0048fd10	L2_FUN_0048fd10	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	4	shadow_ab_20260910_120315_4x_00421560.log	2026-09-10T12:03:15		
0048fd40	L2_FUN_0048fd40	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	4	shadow_ab_20260910_120315_4x_00421560.log	2026-09-10T12:03:15		
00490490	L2_FUN_00490490	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	3	shadow_ab_20260910_120415_3x_00457610.log	2026-09-10T12:04:15		
00490f50	ByteQuadSet50	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T12:19:51		
00490f80	ByteQuadSet80	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T12:20:46		
00495fe0	L2_FUN_00495fe0	CRASH	0	0		 |  track=0 mode=10 cars=4 === /   attaching ASAP... /   [agent] ready /     phase=0  (waiting for menu (phase 1)) /   game exited while waiting for menu (phase 1)	CRASH	1		2026-09-10T15:27:41	CRASH	2026-09-10T15:28:52
004a2bf7	Tbl4a2bf7	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T12:21:42		
004b4050	ClumpQueryField18	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:13:48		
004c4600	FUN_004c4600	CLEAN	48	0	A/B-IS-REAL installed=e9 uninstalled=8b		RACE_OK	16	shadow_ab_20260910_001251_16x_00407600.log	2026-09-10T00:12:51		
004c51a0	FUN_004c51a0	CLEAN	24	0	A/B-IS-REAL installed=e9 uninstalled=8b		RACE_OK	4	shadow_ab_20260910_103201_4x_004a2bf7.log	2026-09-10T10:32:01		
004c52f0	FUN_004c52f0	CLEAN	48	0	A/B-IS-REAL installed=e9 uninstalled=8b		RACE_OK	16	shadow_ab_20260910_001251_16x_00407600.log	2026-09-10T00:12:51		
004d71f0	RenderState_GetTexturingOverride	CLEAN	48	0	A/B-IS-REAL installed=e9 uninstalled=a1		RACE_OK	16	shadow_ab_20260910_001251_16x_00407600.log	2026-09-10T00:12:51		
004f8640	PluginFieldWriteA8	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:14:30		
004f8670	PluginFieldWriteAC	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T16:15:11		
