rva	name	file	subsystem	kind	ret	cc	params	phase	status
00403050	PreRaceLoadingScreenDraw	SkeletonAndScatter_t6.cpp	frontend	tracked	void	__cdecl		race	GENERATED
00407600	PlayerPositionPtr	SlotObjectAccessors.cpp	util	ret	std::uint32_t	__cdecl	int player	race	ALREADY:shadow-site-present
00407b00	RangeTableFindGroup	RangeTable_ah1.cpp	gameplay	ret	int	__cdecl	int param_1	race	ALREADY:shadow-site-present
0040cf40	ReleaseResourcePair	Thresholds_ah4.cpp	gameplay	tracked	void	__cdecl	void	race	GENERATED
00421930	BodyGeometryFirstDword	SlotObjectAccessors.cpp	render	ret	std::uint32_t	__cdecl	int handleOff	race	ALREADY:shadow-site-present
00423b00	FrontendInputDispatch	MenuLeaves_af5.cpp	frontend	tracked	void	__cdecl	void	race	GENERATED
004274e0	LocalizationFileLoad	SkeletonAndScatter_t6.cpp	frontend	ret	std::uint32_t	__cdecl		race	ALREADY:shadow-site-present
0042bcb0	PlayerNameSpriteDraw	SkeletonAndScatter_t6.cpp	frontend	tracked	void	__cdecl	int param_1, float param_2, float param_3, std::uint32_t param_4, int param_5	race	GENERATED
00448700	VehicleSeedWritePair	VehicleSeed.cpp	vehicle					race	SKIP:definition-count=0
0044b000	SlotRecordPositionPtr	SlotObjectAccessors.cpp	render	ret	std::uint32_t	__cdecl	int slot	race	ALREADY:shadow-site-present
0045d3f0	L2_FUN_0045d3f0	L2_0045d3f0.cpp	lane2	ret		__cdecl		race	GENERATED:lane2-decomp2port
004671d0	FollowTargetField40	FollowTargetFieldPtr.cpp	render	ret	std::uint32_t	__cdecl	int sel	race	ALREADY:shadow-site-present
00467210	FollowTargetField10	FollowTargetFieldPtr.cpp	render	ret	std::uint32_t	__cdecl	int sel	race	ALREADY:shadow-site-present
0047b9e0	Track_RenderQuadThunk_47b9e0	CourseLoadDispatch.cpp	track	tracked	void	__cdecl	std::uint32_t param_1, std::uint32_t param_2	race	GENERATED
0047e9c0	FUN_0047e9c0	RwpSolverCore23.cpp	vehicle	tracked	void	__cdecl	int param_1, undefined4 param_2	race	GENERATED
004840b0	ShapeOwnerHandleGet	ShapeOwnerHandlePool.cpp	vehicle	ret	std::uint32_t	__cdecl	std::uint32_t idx	race	ALREADY:shadow-site-present
004853b0	SmplFzxStateBlockGetLogged	SmplFzxStateBlock.cpp	smplfzx	ret	std::uint32_t	__cdecl	int id	race	ALREADY:shadow-site-present
00490f50	ByteQuadSet50	GlobalByteQuad.cpp	render	tracked	void	__cdecl	int a, int b, int c, int d	race	GENERATED
