frame	t_ms	dik_csv	names_csv
1	0		(none)
7097	19709	0x1c	ENTER
7129	19799		(none)
7687	21348	0x1c	ENTER
7713	21420		(none)
7871	21859	0x1c	ENTER
7901	21943		(none)
8053	22364	0xd0	DOWN
8081	22443		(none)
8117	22543	0xd0	DOWN
8151	22637		(none)
8203	22782	0xd0	DOWN
8239	22882		(none)
8373	23254	0xd0	DOWN
8405	23343		(none)
8769	24353	0x1c	ENTER
8799	24438		(none)
9259	25754	0x1c	ENTER
9301	25871		(none)
9503	26431	0xc8	UP
9693	26959	0xc8,0xcb	UP,LEFT
9763	27153	0xc8	UP
9895	27520		(none)
9909	27559	0x11	W
9981	27759		(none)
10107	28109	0x2c	0x2c
10191	28342		(none)
10203	28375	0x1c	ENTER
10241	28481		(none)
10243	28487	0x2c	0x2c
10331	28731		(none)
10503	29209	0x2c	0x2c
10689	29726	0x2c,0x2d	0x2c,0x2d
10693	29736	0x2c,0x2d,0x2e	0x2c,0x2d,0x2e
10713	29792	0x2d,0x2e	0x2d,0x2e
10723	29820	0x2d	0x2d
10745	29881	0x2d,0x2e	0x2d,0x2e
10781	29982	0x2e	0x2e
10831	30120		(none)
11039	30698	0x1c	ENTER
11073	30793		(none)
11105	30881	0x2c	0x2c
11165	31048	0x2c,0x2d	0x2c,0x2d
11177	31081	0x2d	0x2d
11195	31131	0x2d,0x2e	0x2d,0x2e
11229	31226	0x2e	0x2e
11239	31253		(none)
11275	31353	0x2e	0x2e
11323	31486		(none)
11345	31548	0x2e	0x2e
11545	32103		(none)
11693	32515	0x1c	ENTER
11721	32592		(none)
11897	33081	0x1c	ENTER
11931	33176		(none)
13185	36659	0x1c	ENTER
13215	36759		(none)
13945	38786	0x1c	ENTER
13971	38859		(none)
14401	40053	0x38	LALT
14507	40347	0x38,0x3e	LALT,0x3e
