frame	t_ms	dik_csv	names_csv
1	0		(none)
954	9738	0x1c	ENTER
964	9820		(none)
1420	13621	0x1c	ENTER
1432	13721		(none)
1510	14371	0x1c	ENTER
1520	14455		(none)
1628	15354	0xd0	DOWN
1642	15471		(none)
1668	15687	0xd0	DOWN
1682	15805		(none)
1692	15888	0x1c	ENTER
1704	15988		(none)
1806	16838	0x1c	ENTER
1816	16921		(none)
1942	17971	0xd0	DOWN
1956	18088		(none)
2016	18588	0x1c	ENTER
2026	18671		(none)
2174	19905	0x1c	ENTER
2180	19954		(none)
2358	21465	0x1c	ENTER
2368	21549		(none)
2412	21916	0x20	D
2440	22148		(none)
2560	23149	0x20	D
2662	23999	0x20,0x2e	D,0x2e
2664	24015	0x2e	0x2e
2710	24399		(none)
2712	24415	0x20	D
2730	24565		(none)
2742	24666	0x20	D
2748	24716		(none)
2758	24799	0x21	0x21
2796	25116		(none)
2804	25183	0x1f	S
2822	25333		(none)
2838	25465	0xc8	UP
2858	25633	0x1f,0xc8	S,UP
2860	25649	0x1f	S
3082	27499	0x1f,0xcd	S,RIGHT
3094	27599	0x1f	S
3122	27833	0x1f,0xcb	S,LEFT
3132	27916	0x1f	S
3162	28166	0x1f,0xcb	S,LEFT
3172	28249	0x1f	S
3200	28483	0x1f,0xcd	S,RIGHT
3212	28582	0x1f	S
3302	29333	0x1f,0xcb	S,LEFT
3310	29399	0x1f	S
3326	29533	0x1f,0xcb	S,LEFT
3344	29683	0x1f	S
3376	29950	0x1f,0xcd	S,RIGHT
3388	30049	0x1f	S
3404	30184	0x1f,0xcb	S,LEFT
3476	30782	0x1f	S
3520	31149	0x1f,0xcd	S,RIGHT
3560	31483	0x1f	S
3586	31699	0x1f,0xcb	S,LEFT
3596	31783	0x1f	S
3648	32215	0x1f,0xcd	S,RIGHT
3656	32283	0x1f	S
3810	33567	0x1f,0xcb	S,LEFT
3846	33867	0x1f	S
3910	34400	0x1f,0xcb	S,LEFT
3942	34666	0x1f	S
3954	34767	0x1f,0xcb	S,LEFT
3992	35083	0x1f	S
4028	35383	0x1f,0xcd	S,RIGHT
4042	35500	0x1f	S
4092	35917	0x1f,0xcb	S,LEFT
4106	36033	0x1f	S
4148	36384	0x1f,0xcd	S,RIGHT
4160	36484	0x1f	S
4208	36885	0x1f,0xcd	S,RIGHT
4238	37135	0x1f	S
4278	37469	0x1f,0xcb	S,LEFT
4308	37718	0x1f	S
4326	37869	0x1f,0xcd	S,RIGHT
4358	38135	0x1f	S
4554	39768	0x1f,0xcb	S,LEFT
4566	39868	0x1f	S
4640	40485	0x1f,0xcb	S,LEFT
4668	40719	0x1f	S
4690	40902	0x1f,0xcb	S,LEFT
4726	41202	0x1f	S
4756	41452	0x1f,0xcb	S,LEFT
4770	41568	0x1f	S
4818	41969	0x1f,0xcd	S,RIGHT
4830	42069	0x1f	S
4990	43403		(none)
5332	46253	0x1c	ENTER
5340	46335		(none)
5466	47385	0x1c	ENTER
5476	47468		(none)
5556	48136	0x01	ESC
5572	48269		(none)
5634	48785	0x01	ESC
5646	48885		(none)
5676	49135	0xd0	DOWN
5686	49219		(none)
5698	49319	0xd0	DOWN
5706	49385		(none)
5716	49469	0xd0	DOWN
5726	49553		(none)
5742	49685	0x1c	ENTER
