0x00405400	[C1 2026-05-18] Pure store. Sets three adjacent globals to zero: - `DAT_00639d70 = 0` (at 0x00405400 body) -...
0x00405430	[C1 2026-05-18] Returns int (treated as bool: 0 or 1).
0x00405540	[C1 2026-05-18] Takes `int param_1` (treated as pointer to a write-back struct).
0x00405730	[C1 2026-05-18] Four params (`param_1`, `param_2`, `param_3`, `param_4`).
0x00405780	[C1 2026-05-18] Initializes a new record in a fixed-stride array anchored at `DAT_00639d80`.
0x004058b0	[C1 2026-05-18] Two-arg: `int param_1` (record pointer), `float param_2`.
0x004058c0	[C1 2026-05-18] Decompiles as a bare `FUN_004058b0();` call followed by return.
0x004058e0	[C1 2026-05-18] Two-arg: `int param_1` (search-key), `param_2` (forwarded float).
0x00405920	[C1 2026-05-18] Two float params (`param_1`, `param_2`) and uses `in_EAX` + `unaff_EDI` (Ghidra's hint that calling...
0x00405ab0	[C1 2026-05-18] Single arg `float *param_1` (a vec3). Other inputs read from `unaff_ESI` (Ghidra hint: caller passes...
0x00405f60	[C1 2026-05-18] `void __fastcall FUN_00405f60(int param_1)` — `this` pointer in ECX (Ghidra labels it param_1).
0x00406070	[C1 2026-05-18] Allocates / initializes one slot in a fixed-stride array anchored at `0x0063a490`, stride 8 dwords (=...
0x00406130	[C1 2026-05-18] Walks the 10-slot array at `0x0063a490` (same as 0x00406070, stride 0x20). Loop terminates when puVar1...
0x00406160	[C1 2026-05-18] Per-tick updater for the 10-slot array at `0x0063a490`. Walks `pfVar4 = (float *)&DAT_0063a498` (slot's...
0x00406370	[C1 2026-05-18] Pure zero-init. Sets a fixed sequence of globals to 0: - First slot (DAT_0063a490 group): +0x4=0,...
0x00406410	[C1 2026-05-18] `void FUN_00406410(void)` decompile signature but reads `unaff_ESI` (this-pointer in ESI).
0x004064c0	[C1 2026-05-18] `float10 FUN_004064c0(void)` — `void(void)` decomp; uses `in_EAX` (this-pointer). Returns local_1c (a...
0x00406950	[C1 2026-05-18] One arg `int param_1` (treated as bucket index 0..3, matches DAT_0063a478 bucket-count layout from...
0x004069d0	[C1 2026-05-18] Decomp signature shows `void FUN_004069d0(float param_1)` but the body uses param_1 as both int and...
0x00406ae0	[C1 2026-05-18] `void FUN_00406ae0(void)`; reads `in_EAX` (this-pointer).
0x004074a0	[C1 2026-05-18] Resets / destructs the entire subsystem A array (anchor DAT_00639d80) AND the subsystem B array (anchor...
0x00407550	[C1 2026-05-18] "Find subsystem A record by key" — equivalent of 0x004058e0 but returns the record pointer instead of...
0x00407580	[C1 2026-05-18] Subsystem A record accessor by index.
0x004075a0	[C1 2026-05-18] Returns subsystem A record count: `return DAT_0063a5d0;`.
0x004075b0	[C1 2026-05-18] `bool FUN_004075b0(int param_1, undefined4 *param_2)` — `param_1 = record index`, `param_2 = out-vec4...
0x00407620	[C1 2026-05-18] `void FUN_00407620(int *param_1, int param_2)`.
0x00407640	[C1 2026-05-18] "Find Copter record index by key." Variant of 0x00407550 that returns the integer index instead of the...
0x004077e0	[C1 2026-05-18] Returns `(float)(&DAT_00639de0)[DAT_0063a5d8 * 0x3b]` cast to float10.
0x00407800	[C1 2026-05-18] **STRING ANCHOR**: `"ToastArt/common/perm/"`, `"Copters/"`, `"%s%s%s.dff"` — confirms this whole...
0x00407a00	[C1 2026-05-18] 2-D accessor over a flat table at `0x008a9914`.
0x00407a20	[C1 2026-05-18] Pre-existing tag in decomp: `/* [C1 2026-05-13] Takes `param_1` (int): vehicle/entity index. */`.
0x00407b00	[C1 2026-05-18] "Find region/range that contains param_1" — walks a sentinel-terminated pair-list returned by...
0x00407b70	[C1 2026-05-18] "Is param_1 inside group param_2 of the range table?"
0x00407be0	[C1 2026-05-18] "Successor/predecessor of param_1 in group param_2 of the range table" — third operation on the same...
0x00407cd0	[C1 2026-05-18] "Next value of param_1 in range-table group at offset param_2" — complementary to 0x00407be0...
0x00407d70	[C1 2026-05-18] "Count distinct elements in range-table group at offset param_1" — sum of (hi - lo) for range entries...
0x00407db0	[C1 2026-05-18] "Cumulative-position of param_2 within range-table group at offset param_1".
