0x00412130	[C1 2026-05-18] Returns an `int` derived from two pieces of state.
0x00412190	[C1 2026-05-18] `void FUN_00412190(void)` — initializes up to 6 entries of a 0x2C-byte (11 dword = `0xb*4`) record…
0x00412620	[C1 2026-05-18] Per-frame update for the wheel-trail-decal slot array initialized by FUN_00412190; iterates same…
0x00412880	[C1 2026-05-18] Thunk to `FUN_00412190` (5 bytes: a single `JMP rel32` instruction).
0x004128f0	[C1 2026-05-18] Per-icon HUD-overlay builder. Inputs (via EAX/EDI register-args inferred by Ghidra): `in_EAX` = an…
0x00412e30	[C1 2026-05-18] 8-argument helper: `void FUN_00412e30(float *out, int srcA, int srcB, undefined4, float t, float…
0x00413b80	[C1 2026-05-18] Initializer for the "VehicleIcons" sprite-batch / 2D raster atlas at global `&DAT_0063bd50`.
0x00413bb0	[C1 2026-05-18] Single-call wrapper. Calls `FUN_004768c0(&DAT_0063bd50)`.
0x00413bc0	[C1 2026-05-18] `__fastcall` taking index in `ESI` and pointer in EAX/param_1; returns void via writing 4 floats to…
0x00413cb0	[C1 2026-05-18] Per-frame draw of an animated 20-cell (4 rows × 5 cols) sparkle/spark grid.
0x00413f50	[C1 2026-05-18] Render-state-wrapped flush. Sequence: 1. `(*(DAT_007d3ff8+0x20))(8, 0)` — disable render-state 8…
0x00413fa0	[C1 2026-05-18] Returns an int index computed as `FUN_00430790() * 3 + bias`, where bias is determined by…
0x00416230	[C1 2026-05-18] Pre-existing Ghidra comment: "[C1 2026-05-08] param_1: vehicle/player index (0-based)" — was…
0x00417370	[C1 2026-05-18] One-shot per-player initializer.
0x004173a0	[C1 2026-05-18] `float10 FUN_004173a0(void)` — single-instruction float-getter: returns `(float10)_DAT_0089a360`.
0x004173b0	[C1 2026-05-18] Twin of 0x00417370 with a different scale.
0x004173e0	[C1 2026-05-18] 2D coordinate-to-byte lookup. Inputs `(uint x, uint y)` in roughly `[-0x200, +0x200]` (i.e. 1024×1024…
0x00417450	[C1 2026-05-18] Writer counterpart to 0x004173e0. `(uint x, uint y, byte value)` → bool.
0x00417530	[C1 2026-05-18] Eraser/clear counterpart to 0x004173e0 / 0x00417450.
0x00417740	[C1 2026-05-18] Pre-existing Ghidra comment: "[C1 2026-05-15] Three instructions; body 0x00417740..0x0041774f (16…
0x00417750	[C1 2026-05-18] `__fastcall(undefined4 param_1)` per-event accumulator.
0x00418a00	[C1 2026-05-18] "Constructor"-style initializer using register-passed `this` (`unaff_ESI`).
0x00418a70	[C1 2026-05-18] Conditional draw helper.
0x00418aa0	[C1 2026-05-18] Initializer for a per-emitter record at `unaff_EDI` (this).
0x00418bd0	[C1 2026-05-18] `__fastcall(undefined4 ctx, int p2)` → `int` (0/1).
0x00418db0	[C1 2026-05-18] Iterates a record array between `&DAT_0063bde0` and `0x63bf70` (= `&DAT_0063bf70`).
0x00418e30	[C1 2026-05-18] Iterates `&DAT_0063bda0` to `0x63bf30` in 100-byte steps; calls `FUN_00418de0()` once per record. Span…
0x00418e50	[C1 2026-05-18] Initializes 0x40 (=64) dwords starting at `&DAT_0063c508` to the constant `0x3fe00000` (= 0.875f?…
0x00418e70	[C1 2026-05-18] Per-frame draw for a 64-slot smoke-puff/sprite array.
0x00418f30	[C1 2026-05-18] Tail-call wrapper: `FUN_004770a0(&DAT_0063c1c8)`.
0x00418f40	[C1 2026-05-18] Tail-call wrapper: `FUN_004768c0(&DAT_0063c1c8)`.
0x00418f50	[C1 2026-05-18] Spawns one smoke-puff into the 64-slot pool managed by 0x00418e70 / 0x00418e50.
0x00419090	[C1 2026-05-18] Class initializer / "constructor" using EAX (clump?), EBX (this), arg `param_1`.
0x004190f0	[C1 2026-05-18] Two-field clearer using EAX (`this`):
0x00419100	[C1 2026-05-18] Per-frame update for the "target" record (this = EAX). Subsystem: airstrike/missile target overlay.
0x00419480	[C1 2026-05-18] Iterates 6 atomic handles in a record (this = EAX). Each handle pair lives at indices (i, i+8) inside…
0x004194f0	[C1 2026-05-18] Composite reset/init driver:
0x00419530	[C1 2026-05-18] Main per-frame render for the bucket's overlay subsystem. Gated by `FUN_0042fe50()` (likely "is…
0x004196f0	[C1 2026-05-18] Bucket-wide teardown / shutdown for the overlay subsystem.
0x004197e0	[C1 2026-05-18] State-machine for a missile/airstrike target reticule. Three states keyed by `unaff_ESI[0xd]` (= float…
0x00419a00	[C1 2026-05-18] 4-state missile-in-flight state-machine for one record (this = unaff_ESI). State stored at `+0x44`.
0x00419fd0	[C1 2026-05-18] Iterates the 4-record array at `&DAT_0063bda0` (stride 100 bytes); on each iteration calls…
0x00419ff0	[C1 2026-05-18] Initializer for the "smoke" sprite-batch at `&DAT_0063c1c8`.
0x0041a060	[C1 2026-05-18] Bucket-master init function (the "Spawn weapons-effects subsystem" entry-point).
0x0041a180	[C1 2026-05-18] Bucket-master per-frame update (the "TickWeaponsEffects" entry-point).
0x0041a400	[C1 2026-05-18] "Ghost-vehicle slot" constructor.
0x0041a4a0	[C1 2026-05-18] "Set transform" setter for ghost-vehicle slot.
0x0041a500	[C1 2026-05-18] Setter for the "tint scale" vec3 of a ghost-vehicle slot at offset `+0xa0..+0xa8` (=…
0x0041a550	[C1 2026-05-18] Setter for 4-component "secondary tint" / RGBA of a ghost-vehicle slot at offset `+0x80..+0x8c` (=…
0x0041a5b0	[C1 2026-05-18] One-dword setter: `*(&DAT_0063c6ec + slot * 0xc4) = param_2` — writes to slot offset `+0xbc` (an alpha…
0x0041a5d0	[C1 2026-05-18] Per-frame render for ONE ghost-vehicle slot. param_1 = slot index.
0x0041a840	[C1 2026-05-18] Destroy helper for a ghost-vehicle slot. param_1 × 0xc4.
0x0041a8b0	[C1 2026-05-18] Setter for the ghost-slot "enabled" flag at `+0xc0` (= `&DAT_0063c6f0 + i*0xc4`).
0x0041a8d0	[C1 2026-05-18] Initializer for a 2-slot ghost-vehicle array (loop bound: `puVar4 < 0x63c88c` with start `0x63c80c`…
0x0041a980	[C1 2026-05-18] Destroys / clears the 2-slot ghost.dff clump-handle array at `&DAT_0063c7b8..&DAT_0063c7c0`.
0x0041a9d0	[C1 2026-05-18] Per-frame computes "tint scale" vec3 for each ghost-vehicle slot, based on the angle between the…
0x0041aac0	[C1 2026-05-18] Per-frame computes "secondary tint" RGBA for each ghost-vehicle slot, accumulating from a 4-vec3…
0x0041ac60	[C1 2026-05-18] Per-frame computes a distance-based alpha scalar for each ghost-vehicle slot (only 2 slots: `iVar2 <…
0x0041ad60	[C1 2026-05-18] "ParticleEmitter / 17-atomic class constructor". Sister-pattern to FUN_00419090 / FUN_0041b690.
0x0041adb0	[C1 2026-05-18] Configure ParticleEmitter (this = ESI).
0x0041ae20	[C1 2026-05-18] `__fastcall(int this)`. Per-frame reset of emitter's vec3 at `+0x50..+0x58` and counter `+0x70`.
0x0041ae60	[C1 2026-05-18] Sequence of bit-tested per-atomic SetSurfaceProperties calls.
0x0041af00	[C1 2026-05-18] High-bits counterpart to FUN_0041ae60.
0x0041af50	[C1 2026-05-18] Per-frame logic for one ParticleEmitter (this = EAX). Computes the visibility-mask `+0x68` from 5…
0x0041b440	[C1 2026-05-18] Tail-call destructor: `FUN_004e6e00(*(this+0x5c))` — destroys the emitter's clump pointer at `+0x5c`…
0x0041b520	[C1 2026-05-18] Iterates an array calling `FUN_0041ae20()` (the +0x50 vec3 reset) per element. Loop until…
0x0041b690	[C1 2026-05-18] "ParticleEmitter2 / 29-atomic class" constructor. Same pattern as FUN_0041ad60 but with 0x1d = 29…
0x0041b720	[C1 2026-05-18] "PackVisibilityMask" for ParticleEmitter2 (this = EAX). Computes `+0x168` from `+0xc` (atomic count…
0x0041b770	[C1 2026-05-18] `__fastcall(int this)` — copies a vec3 from `&DAT_005f334c + idx*12` into `+0x150..+0x158` of `this`.
0x0041b7a0	[C1 2026-05-18] Per-frame visibility-mask resolver for ParticleEmitter2 (this = ESI). For each of 40 candidate…
0x0041beb0	[C1 2026-05-18] Tail-call destructor for ParticleEmitter2: `FUN_004e6e00(*(this+0x15c))`. Matches FUN_0041b690's…
0x0041c320	[C1 2026-05-18] Third "ParticleEmitter" class constructor (24-atomic variant). Same template as FUN_00419090 /…
0x0041c380	[C1 2026-05-18] Configures 24-atomic emitter (this = ESI).
0x0041c410	[C1 2026-05-18] Per-frame logic for 24-atomic emitter (this = ESI). Same shape as FUN_0041af50 but with different bit…
0x0041cb00	[C1 2026-05-18] Tail-call destructor: `FUN_004e6e00(*(this+0x100))`. Matches FUN_0041c320's clump at +0x100.
0x0041cd20	[C1 2026-05-18] Fourth ParticleEmitter constructor — 34-atomic class (`iVar3 < 0x22`). Same template as FUN_0041b690…
0x0041cdb0	[C1 2026-05-18] "PackVisibilityMask" for 34-atomic emitter (this = EAX). Twin of FUN_0041b720 with output stored at…
0x0041ce00	[C1 2026-05-18] Per-frame visibility-mask resolver for 34-atomic emitter (this = ESI). Largest function in the bucket…
0x0041d6d0	[C1 2026-05-18] Tail-call destructor for 34-atomic emitter: `FUN_004e6e00(*(this+0x150))`.
0x0041d910	[C1 2026-05-18] Trivial: `DAT_0063d584 = 0; DAT_0063d588 = 0;` — clears two adjacent dwords. Likely a "reset…
