row,ppx,ppy,ppz,pdx,pdy,pdz,pzoom,pvw,ppairA,ppairB,mode,reset
0,0.133975,3.381609,5.006044,-0.036977,0.486019,-1.442864,2.749640,0.600000,0,3,0,0
1,0.215787,3.463676,5.122863,-0.075124,0.486019,-1.420627,2.749640,0.600000,0,3,0,0
2,0.270949,3.518033,5.200347,-0.100457,0.486019,-1.405971,2.749640,0.600000,0,3,0,0
3,0.306199,3.551741,5.248523,-0.116241,0.486019,-1.396959,2.749640,0.600000,0,3,0,0
4,0.327117,3.570629,5.275669,-0.125169,0.486019,-1.391994,2.749640,0.600000,0,3,0,0
5,0.338145,3.579322,5.288353,-0.129382,0.486019,-1.389808,2.749640,0.600000,0,3,0,0
6,0.341786,3.581406,5.291526,-0.130465,0.486019,-1.389356,2.749640,0.600000,0,3,0,0
7,0.341736,3.579433,5.288992,-0.129692,0.486019,-1.390025,2.749640,0.600000,0,3,0,0
8,0.339727,3.575258,5.283380,-0.127917,0.486019,-1.391305,2.749640,0.600000,0,3,0,0
9,0.336924,3.570142,5.276473,-0.125720,0.486019,-1.392846,2.749640,0.600000,0,3,0,0
10,0.334071,3.564893,5.269416,-0.123473,0.486019,-1.394427,2.749640,0.600000,0,3,0,0
11,0.331602,3.559990,5.262887,-0.121394,0.486019,-1.395912,2.749640,0.600000,0,3,0,0
12,0.328855,3.555754,5.257138,-0.119549,0.486019,-1.397155,2.749640,0.600000,0,3,0,0
13,0.327059,3.552188,5.252421,-0.118043,0.486019,-1.398232,2.749640,0.600000,0,3,0,0
14,0.326135,3.549290,5.248723,-0.116870,0.486019,-1.399137,2.749640,0.600000,0,3,0,0
15,0.325963,3.547004,5.245949,-0.115998,0.486019,-1.399883,2.749640,0.600000,0,3,0,0
16,0.326412,3.545242,5.243971,-0.115383,0.486019,-1.400490,2.749640,0.600000,0,3,0,0
17,0.327351,3.543911,5.242646,-0.114978,0.486019,-1.400981,2.749640,0.600000,0,3,0,0
18,0.327808,3.543015,5.241720,-0.114691,0.486019,-1.401300,2.749640,0.600000,0,3,0,0
19,0.328801,3.542349,5.241221,-0.114544,0.486019,-1.401572,2.749640,0.600000,0,3,0,0
20,0.330185,3.541849,5.241040,-0.114499,0.486019,-1.401810,2.749640,0.600000,0,3,0,0
21,0.331845,3.541462,5.241084,-0.114527,0.486019,-1.402024,2.749640,0.600000,0,3,0,0
22,0.333689,3.541146,5.241285,-0.114604,0.486019,-1.402221,2.749640,0.600000,0,3,0,0
23,0.335645,3.540871,5.241588,-0.114712,0.486019,-1.402409,2.749640,0.600000,0,3,0,0
24,0.336838,3.540737,5.241820,-0.114791,0.486019,-1.402512,2.749640,0.600000,0,3,0,0
25,0.338312,3.540573,5.242126,-0.114893,0.486019,-1.402637,2.749640,0.600000,0,3,0,0
26,0.339983,3.540377,5.242479,-0.115009,0.486019,-1.402779,2.749640,0.600000,0,3,0,0
27,0.341786,3.540150,5.242859,-0.115132,0.486019,-1.402936,2.749640,0.600000,0,3,0,0
28,0.343670,3.539891,5.243252,-0.115258,0.486019,-1.403104,2.749640,0.600000,0,3,0,0
29,0.345598,3.539605,5.243649,-0.115383,0.486019,-1.403281,2.749640,0.600000,0,3,0,0
30,0.346750,3.539439,5.243902,-0.115461,0.486019,-1.403384,2.749640,0.600000,0,3,0,0
31,0.348146,3.539212,5.244194,-0.115550,0.486019,-1.403515,2.749640,0.600000,0,3,0,0
32,0.349718,3.538933,5.244512,-0.115647,0.486019,-1.403668,2.749640,0.600000,0,3,0,0
33,0.351410,3.538614,5.244849,-0.115748,0.486019,-1.403837,2.749640,0.600000,0,3,0,0
34,0.353178,3.538262,5.245196,-0.115852,0.486019,-1.404016,2.749640,0.600000,0,3,0,0
35,0.354989,3.537884,5.245548,-0.115958,0.486019,-1.404203,2.749640,0.600000,0,3,0,0
36,0.356062,3.537654,5.245759,-0.116020,0.486019,-1.404315,2.749640,0.600000,0,3,0,0
37,0.357372,3.537360,5.246011,-0.116095,0.486019,-1.404453,2.749640,0.600000,0,3,0,0
38,0.358852,3.537016,5.246294,-0.116180,0.486019,-1.404612,2.749640,0.600000,0,3,0,0
39,0.360449,3.536630,5.246593,-0.116271,0.486019,-1.404786,2.749640,0.600000,0,3,0,0
40,0.362121,3.536213,5.246902,-0.116366,0.486019,-1.404969,2.749640,0.600000,0,3,0,0
41,0.363834,3.535772,5.247213,-0.116464,0.486019,-1.405159,2.749640,0.600000,0,3,0,0
42,0.364847,3.535503,5.247396,-0.116522,0.486019,-1.405272,2.749640,0.600000,0,3,0,0
43,0.366086,3.535165,5.247614,-0.116593,0.486019,-1.405412,2.749640,0.600000,0,3,0,0
44,0.367486,3.534771,5.247853,-0.116674,0.486019,-1.405572,2.749640,0.600000,0,3,0,0
45,0.368996,3.534334,5.248103,-0.116761,0.486019,-1.405747,2.749640,0.600000,0,3,0,0
46,0.370574,3.533863,5.248353,-0.116853,0.486019,-1.405931,2.749640,0.600000,0,3,0,0
47,0.372190,3.533365,5.248596,-0.116947,0.486019,-1.406122,2.749640,0.600000,0,3,0,0
48,0.373146,3.533064,5.248736,-0.117003,0.486019,-1.406235,2.749640,0.600000,0,3,0,0
49,0.374312,3.532685,5.248896,-0.117071,0.486019,-1.406376,2.749640,0.600000,0,3,0,0
50,0.375629,3.532245,5.249063,-0.117149,0.486019,-1.406537,2.749640,0.600000,0,3,0,0
51,0.377047,3.531757,5.249228,-0.117233,0.486019,-1.406712,2.749640,0.600000,0,3,0,0
52,0.378528,3.531233,5.249382,-0.117321,0.486019,-1.406897,2.749640,0.600000,0,3,0,0
53,0.380043,3.530680,5.249520,-0.117412,0.486019,-1.407089,2.749640,0.600000,0,3,0,0
54,0.380937,3.530346,5.249595,-0.117465,0.486019,-1.407203,2.749640,0.600000,0,3,0,0
55,0.382027,3.529927,5.249667,-0.117531,0.486019,-1.407344,2.749640,0.600000,0,3,0,0
56,0.383256,3.529441,5.249730,-0.117605,0.486019,-1.407505,2.749640,0.600000,0,3,0,0
57,0.384578,3.528903,5.249776,-0.117686,0.486019,-1.407681,2.749640,0.600000,0,3,0,0
58,0.385956,3.528325,5.249799,-0.117771,0.486019,-1.407867,2.749640,0.600000,0,3,0,0
59,0.387363,3.527718,5.249794,-0.117857,0.486019,-1.408059,2.749640,0.600000,0,3,0,0
60,0.388193,3.527352,5.249779,-0.117909,0.486019,-1.408174,2.749640,0.600000,0,3,0,0
61,0.389204,3.526892,5.249739,-0.117972,0.486019,-1.408316,2.749640,0.600000,0,3,0,0
62,0.390341,3.526360,5.249669,-0.118043,0.486019,-1.408478,2.749640,0.600000,0,3,0,0
63,0.391563,3.525773,5.249565,-0.118120,0.486019,-1.408654,2.749640,0.600000,0,3,0,0
64,0.392835,3.525143,5.249425,-0.118201,0.486019,-1.408841,2.749640,0.600000,0,3,0,0
65,0.394132,3.524481,5.249248,-0.118284,0.486019,-1.409034,2.749640,0.600000,0,3,0,0
66,0.394895,3.524083,5.249128,-0.118333,0.486019,-1.409149,2.749640,0.600000,0,3,0,0
67,0.395824,3.523583,5.248954,-0.118393,0.486019,-1.409292,2.749640,0.600000,0,3,0,0
68,0.396867,3.523007,5.248729,-0.118461,0.486019,-1.409454,2.749640,0.600000,0,3,0,0
69,0.397986,3.522370,5.248453,-0.118535,0.486019,-1.409631,2.749640,0.600000,0,3,0,0
70,0.399149,3.521688,5.248128,-0.118612,0.486019,-1.409819,2.749640,0.600000,0,3,0,0
71,0.400332,3.520973,5.247755,-0.118691,0.486019,-1.410013,2.749640,0.600000,0,3,0,0
72,0.401028,3.520543,5.247518,-0.118738,0.486019,-1.410128,2.749640,0.600000,0,3,0,0
73,0.401871,3.520004,5.247198,-0.118795,0.486019,-1.410272,2.749640,0.600000,0,3,0,0
74,0.402818,3.519382,5.246803,-0.118860,0.486019,-1.410435,2.749640,0.600000,0,3,0,0
75,0.403832,3.518697,5.246342,-0.118931,0.486019,-1.410613,2.749640,0.600000,0,3,0,0
76,0.404884,3.517964,5.245819,-0.119004,0.486019,-1.410801,2.749640,0.600000,0,3,0,0
77,0.405952,3.517197,5.245241,-0.119079,0.486019,-1.410996,2.749640,0.600000,0,3,0,0
78,0.406579,3.516735,5.244880,-0.119124,0.486019,-1.411112,2.749640,0.600000,0,3,0,0
79,0.407337,3.516158,5.244407,-0.119178,0.486019,-1.411255,2.749640,0.600000,0,3,0,0
80,0.408186,3.515492,5.243839,-0.119240,0.486019,-1.411419,2.749640,0.600000,0,3,0,0
81,0.409094,3.514760,5.243188,-0.119307,0.486019,-1.411598,2.749640,0.600000,0,3,0,0
82,0.410034,3.513977,5.242466,-0.119376,0.486019,-1.411787,2.749640,0.600000,0,3,0,0
83,0.410985,3.513158,5.241684,-0.119448,0.486019,-1.411982,2.749640,0.600000,0,3,0,0
84,0.411543,3.512665,5.241201,-0.119490,0.486019,-1.412099,2.749640,0.600000,0,3,0,0
85,0.412215,3.512050,5.240579,-0.119542,0.486019,-1.412243,2.749640,0.600000,0,3,0,0
86,0.412967,3.511341,5.239842,-0.119600,0.486019,-1.412408,2.749640,0.600000,0,3,0,0
87,0.413768,3.510561,5.239010,-0.119663,0.486019,-1.412587,2.749640,0.600000,0,3,0,0
88,0.414595,3.509729,5.238100,-0.119729,0.486019,-1.412777,2.749640,0.600000,0,3,0,0
89,0.415429,3.508858,5.237126,-0.119797,0.486019,-1.412973,2.749640,0.600000,0,3,0,0
90,0.415917,3.508336,5.236529,-0.119837,0.486019,-1.413090,2.749640,0.600000,0,3,0,0
91,0.416504,3.507683,5.235769,-0.119886,0.486019,-1.413235,2.749640,0.600000,0,3,0,0
92,0.417158,3.506931,5.234879,-0.119941,0.486019,-1.413400,2.749640,0.600000,0,3,0,0
93,0.417852,3.506104,5.233883,-0.120000,0.486019,-1.413580,2.749640,0.600000,0,3,0,0
94,0.418567,3.505224,5.232805,-0.120063,0.486019,-1.413771,2.749640,0.600000,0,3,0,0
95,0.419285,3.504304,5.231661,-0.120126,0.486019,-1.413968,2.749640,0.600000,0,3,0,0
96,0.419703,3.503751,5.230965,-0.120164,0.486019,-1.414085,2.749640,0.600000,0,3,0,0
97,0.420205,3.503062,5.230088,-0.120210,0.486019,-1.414231,2.749640,0.600000,0,3,0,0
98,0.420762,3.502269,5.229066,-0.120262,0.486019,-1.414397,2.749640,0.600000,0,3,0,0
99,0.421351,3.501397,5.227933,-0.120318,0.486019,-1.414577,2.749640,0.600000,0,3,0,0
100,0.421954,3.500469,5.226716,-0.120377,0.486019,-1.414768,2.749640,0.600000,0,3,0,0
101,0.422558,3.499499,5.225435,-0.120437,0.486019,-1.414966,2.749640,0.600000,0,3,0,0
102,0.422908,3.498918,5.224660,-0.120472,0.486019,-1.415084,2.749640,0.600000,0,3,0,0
103,0.423325,3.498193,5.223689,-0.120515,0.486019,-1.415230,2.749640,0.600000,0,3,0,0
104,0.423786,3.497358,5.222567,-0.120564,0.486019,-1.415396,2.749640,0.600000,0,3,0,0
105,0.424271,3.496441,5.221330,-0.120616,0.486019,-1.415578,2.749640,0.600000,0,3,0,0
106,0.424765,3.495467,5.220010,-0.120671,0.486019,-1.415770,2.749640,0.600000,0,3,0,0
107,0.425255,3.494449,5.218628,-0.120727,0.486019,-1.415968,2.749640,0.600000,0,3,0,0
108,0.425538,3.493839,5.217795,-0.120760,0.486019,-1.416087,2.749640,0.600000,0,3,0,0
109,0.425873,3.493079,5.216760,-0.120800,0.486019,-1.416233,2.749640,0.600000,0,3,0,0
110,0.426240,3.492204,5.215569,-0.120846,0.486019,-1.416400,2.749640,0.600000,0,3,0,0
111,0.426623,3.491244,5.214265,-0.120895,0.486019,-1.416582,2.749640,0.600000,0,3,0,0
112,0.427010,3.490223,5.212878,-0.120946,0.486019,-1.416775,2.749640,0.600000,0,3,0,0
113,0.427390,3.489158,5.211436,-0.120998,0.486019,-1.416974,2.749640,0.600000,0,3,0,0
114,0.427607,3.488520,5.210571,-0.121029,0.486019,-1.417093,2.749640,0.600000,0,3,0,0
115,0.427861,3.487726,5.209500,-0.121066,0.486019,-1.417240,2.749640,0.600000,0,3,0,0
116,0.428137,3.486812,5.208274,-0.121108,0.486019,-1.417408,2.749640,0.600000,0,3,0,0
117,0.428420,3.485810,5.206939,-0.121154,0.486019,-1.417590,2.749640,0.600000,0,3,0,0
118,0.428702,3.484744,5.205524,-0.121201,0.486019,-1.417783,2.749640,0.600000,0,3,0,0
119,0.428974,3.483633,5.204061,-0.121249,0.486019,-1.417983,2.749640,0.600000,0,3,0,0
120,0.429127,3.482968,5.203186,-0.121277,0.486019,-1.418103,2.749640,0.600000,0,3,0,0
121,0.429303,3.482140,5.202107,-0.121312,0.486019,-1.418250,2.749640,0.600000,0,3,0,0
122,0.429490,3.481188,5.200878,-0.121351,0.486019,-1.418418,2.749640,0.600000,0,3,0,0
123,0.429677,3.480145,5.199542,-0.121393,0.486019,-1.418602,2.749640,0.600000,0,3,0,0
124,0.429857,3.479035,5.198134,-0.121436,0.486019,-1.418796,2.749640,0.600000,0,3,0,0
125,0.430025,3.477880,5.196682,-0.121481,0.486019,-1.418996,2.749640,0.600000,0,3,0,0
126,0.430117,3.477188,5.195817,-0.121507,0.486019,-1.419116,2.749640,0.600000,0,3,0,0
127,0.430217,3.476327,5.194756,-0.121538,0.486019,-1.419264,2.749640,0.600000,0,3,0,0
128,0.430317,3.475338,5.193548,-0.121574,0.486019,-1.419433,2.749640,0.600000,0,3,0,0
129,0.430411,3.474254,5.192240,-0.121612,0.486019,-1.419617,2.749640,0.600000,0,3,0,0
130,0.430493,3.473102,5.190865,-0.121652,0.486019,-1.419811,2.749640,0.600000,0,3,0,0
131,0.430560,3.471902,5.189452,-0.121692,0.486019,-1.420013,2.749640,0.600000,0,3,0,0
132,0.430592,3.471184,5.188612,-0.121716,0.486019,-1.420133,2.749640,0.600000,0,3,0,0
133,0.430618,3.470292,5.187582,-0.121745,0.486019,-1.420281,2.749640,0.600000,0,3,0,0
134,0.430636,3.469267,5.186415,-0.121777,0.486019,-1.420450,2.749640,0.600000,0,3,0,0
135,0.430639,3.468144,5.185153,-0.121812,0.486019,-1.420635,2.749640,0.600000,0,3,0,0
136,0.430627,3.466951,5.183829,-0.121848,0.486019,-1.420830,2.749640,0.600000,0,3,0,0
137,0.430597,3.465709,5.182470,-0.121884,0.486019,-1.421032,2.749640,0.600000,0,3,0,0
138,0.430572,3.464965,5.181664,-0.121906,0.486019,-1.421153,2.749640,0.600000,0,3,0,0
139,0.430528,3.464043,5.180679,-0.121932,0.486019,-1.421302,2.749640,0.600000,0,3,0,0
140,0.430465,3.462983,5.179562,-0.121961,0.486019,-1.421472,2.749640,0.600000,0,3,0,0
141,0.430382,3.461822,5.178354,-0.121992,0.486019,-1.421657,2.749640,0.600000,0,3,0,0
142,0.430279,3.460589,5.177089,-0.122024,0.486019,-1.421853,2.749640,0.600000,0,3,0,0
143,0.430157,3.459306,5.175790,-0.122057,0.486019,-1.422055,2.749640,0.600000,0,3,0,0
144,0.430076,3.458537,5.175021,-0.122076,0.486019,-1.422176,2.749640,0.600000,0,3,0,0
145,0.429964,3.457585,5.174079,-0.122099,0.486019,-1.422325,2.749640,0.600000,0,3,0,0
146,0.429825,3.456491,5.173011,-0.122125,0.486019,-1.422496,2.749640,0.600000,0,3,0,0
147,0.429659,3.455293,5.171856,-0.122152,0.486019,-1.422682,2.749640,0.600000,0,3,0,0
148,0.429469,3.454021,5.170645,-0.122180,0.486019,-1.422879,2.749640,0.600000,0,3,0,0
149,0.429257,3.452698,5.169400,-0.122209,0.486019,-1.423082,2.749640,0.600000,0,3,0,0
